subject,window,scale,n,delta_effective_rank,p_effective_rank,delta_energy_entropy,p_energy_entropy
p17,late,raw,1007,-19.34962895938571,1.0,-0.04720420383882451,1.0
p17,late,z,1007,-31.98420579479017,1.0,-0.06259563822524639,1.0
p17,pre,raw,1007,-26.847490763031317,1.0,-0.04558962532345162,1.0
p17,pre,z,1007,-48.15912673886828,1.0,-0.07854924273534303,1.0
p19,late,raw,523,12.986329672653397,0.015384615384615385,0.021661963208352508,0.015384615384615385
p19,late,z,523,3.500462723853758,0.1076923076923077,0.012051892349296267,0.046153846153846156
p19,pre,raw,523,-0.26090380368395927,0.6615384615384615,-0.006119011940973085,0.7846153846153846
p19,pre,z,523,-0.25030436274380463,0.5846153846153846,-0.002120100591359586,0.7538461538461538
